               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024097,           0.0092236,            0.039807,             0.47265,             0.72752,             0.55072,             0.44371,            0.018415,           0.0024749,             0.02857,           0.0091585,           0.0091585,           0.0091585
                  36,            0.024865,           0.0090451,            0.038883,             0.46492,               0.709,             0.58068,             0.45692,            0.019007,           0.0025649,            0.024499,           0.0091337,           0.0091337,           0.0091337
                  37,            0.024892,           0.0092702,            0.040199,             0.35738,             0.68783,             0.43969,             0.33779,            0.021167,           0.0025661,            0.032426,            0.009109,            0.009109,            0.009109
                  38,            0.024129,           0.0090496,             0.03909,             0.53332,             0.69384,             0.61738,              0.4928,            0.018302,           0.0024756,            0.028033,           0.0090843,           0.0090843,           0.0090843
                  39,            0.022888,           0.0091063,            0.038324,              0.4335,             0.70803,             0.54987,               0.438,            0.020312,           0.0024904,            0.030163,           0.0090595,           0.0090595,           0.0090595
                  40,            0.023985,           0.0090314,            0.038969,             0.49739,             0.68711,              0.5978,             0.47786,            0.018501,           0.0025259,            0.029938,           0.0090347,           0.0090347,           0.0090347
                  41,            0.024382,           0.0090782,            0.038132,             0.44833,             0.60016,             0.54465,             0.42896,            0.020036,           0.0026116,            0.032743,             0.00901,             0.00901,             0.00901
                  42,            0.023153,           0.0091066,            0.040379,             0.48158,             0.68652,             0.60382,             0.48186,            0.016999,           0.0024859,            0.024883,           0.0089853,           0.0089853,           0.0089853
                  43,            0.023579,           0.0090704,             0.03928,             0.43854,             0.74851,             0.54555,              0.4267,            0.018225,            0.002566,            0.027735,           0.0089605,           0.0089605,           0.0089605
                  44,            0.023763,           0.0091291,            0.037913,             0.44457,             0.73367,             0.59311,             0.47511,            0.017751,           0.0025253,            0.027631,           0.0089358,           0.0089358,           0.0089358
